customer_id,product_desc,ranking
427865,Quilmes Stout-1/2 Lts-Cans,4
431497,Andes Origen Fresquita-1/2 Lts-Cans,1
431497,Stella Artois Blanche-1/2 Lts-Cans,2
431497,Corona-1/2 Lts-Cans,3
431497,Brahma Dorada-3/4 Lts-Bottle-OW,4
431497,Brahma-1 Lts-Bottle-RET,5
431497,Brahma-1/3 Lts-Bottle-RET,6
434493,Andes Origen Fresquita-1/2 Lts-Cans,1
434493,Brahma Dorada-1/2 Lts-Cans,2
434493,Corona-1/2 Lts-Cans,3
434493,Stella Artois Blanche-1/2 Lts-Cans,4
434493,Stella artois-1/2 Lts-Cans,5
435258,Patagonia Amber Lager-1 Lts-Bottle-RET,1
435258,Patagonia Indira-1/2 Lts-Cans,2
437186,Corona-1/2 Lts-Cans,1
437186,Quilmes 0.0-1/2 Lts-Cans,2
437186,Quilmes Clasica-1/2 Lts-Cans,3
437186,Corona-3/4 Lts-Bottle-OW,4
437186,Stella artois-1/2 Lts-Cans,5
437186,Quilmes Stout-1/2 Lts-Cans,6
437633,Brahma Dorada-1/2 Lts-Cans,1
437633,Quilmes Bajo Cero-1 Lts-Bottle-RET,2
437633,Brahma-1/3 Lts-Bottle-RET,3
446875,Stella Artois Blanche-1/2 Lts-Cans,1
446875,Andes Origen Fresquita-1/2 Lts-Cans,2
446875,Budweiser-1/2 Lts-Cans,3
446875,Brahma-1 Lts-Bottle-RET,4
446875,Brahma-1/3 Lts-Bottle-RET,5
447621,Brahma Dorada-3/4 Lts-Bottle-OW,1
447621,Brahma Dorada-1 Lts-Bottle-RET,2
447621,Corona-1/2 Lts-Cans,3
447621,Andes Origen Fresquita-1/2 Lts-Cans,4
447621,Stella Artois Blanche-1/2 Lts-Cans,5
447621,Budweiser-1/2 Lts-Cans,6
447621,Andes Origen IPA-1/2 Lts-Cans,7
447621,Corona-3/4 Lts-Bottle-OW,8
447621,Andes Origen IPA-1/3 Lts-Bottle-RET,9
454340,Brahma Dorada-3/4 Lts-Bottle-OW,1
454340,Brahma-1/2 Lts-Cans,2
454340,Brahma-1 Lts-Bottle-RET,3
456141,Stella Artois Blanche-1/2 Lts-Cans,1
456141,Brahma Dorada-1/2 Lts-Cans,2
456141,Brahma-1/2 Lts-Cans,3
456141,Brahma-1 Lts-Bottle-RET,4
466019,Brahma-1 Lts-Bottle-RET,1
466019,Quilmes Clasica-1 Lts-Bottle-RET,2
466019,Corona-1/4 Lts-Cans,3
466204,Corona-1/2 Lts-Cans,1
466204,Stella artois-1/2 Lts-Cans,2
466204,Patagonia Amber Lager-3/4 Lts-Bottle-OW,3
466204,Patagonia 24.7-3/4 Lts-Bottle-OW,4
466204,Andes Origen Roja-1/2 Lts-Cans,5
466204,Stella artois Noire-1/2 Lts-Cans,6
466204,Patagonia Vera Ipa-1/2 Lts-Cans,7
466204,Patagonia Bohemian Pilsener-1/2 Lts-Cans,8
466204,Andes Origen IPA-1/2 Lts-Cans,9
466204,Brahma Dorada-1/2 Lts-Cans,10
466204,Budweiser-3/4 Lts-Bottle-OW,11
683226,Andes Origen Fresquita-1/2 Lts-Cans,1
683226,Brahma Dorada-1/2 Lts-Cans,2
683785,Andes Origen IPA-1/2 Lts-Cans,1
683785,Quilmes Clasica-1 Lts-Bottle-RET,2
683785,Budweiser-1 Lts-Bottle-RET,3
690352,Brahma-1/2 Lts-Cans,1
690352,Brahma Dorada-1/2 Lts-Cans,2
691701,Quilmes Clasica-1/2 Lts-Cans,1
691701,Brahma-1/2 Lts-Cans,2
99182,Brahma Dorada-1/2 Lts-Cans,1
99182,Corona-1/2 Lts-Cans,2
99182,Stella Artois Blanche-1/2 Lts-Cans,3
99182,Andes Origen Roja-1/2 Lts-Cans,4
124311,Andes Origen Fresquita-1/2 Lts-Cans,1
124311,Brahma-1/2 Lts-Cans,2
125436,Quilmes Bajo Cero-1 Lts-Bottle-RET,1
125436,Brahma-1/2 Lts-Cans,2
125436,Budweiser-1 Lts-Bottle-RET,3
125436,Quilmes Bock-1 Lts-Bottle-RET,4
125436,Stella Artois Blanche-1/2 Lts-Cans,5
125436,Quilmes Clasica-1/2 Lts-Cans,6
125436,Stella artois Noire-1/4 Lts-Cans,7
309610,Brahma-1 Lts-Bottle-RET,1
309610,Brahma-1/2 Lts-Cans,2
358342,Brahma-1 Lts-Bottle-RET,1
358342,Brahma Dorada-3/4 Lts-Bottle-OW,2
358342,Brahma Dorada-1/2 Lts-Cans,3
358342,Stella Artois Blanche-1/2 Lts-Cans,4
358342,1890-1/2 Lts-Cans,5
358342,Budweiser-1 Lts-Bottle-RET,6
358342,Brahma-1/2 Lts-Cans,7
365481,Brahma-1/2 Lts-Cans,1
365481,Andes Origen Fresquita-1/2 Lts-Cans,2
369804,Quilmes Clasica-1 Lts-Bottle-RET,1
369804,Brahma Dorada-1/2 Lts-Cans,2
369804,Temple Scottish-1/2 Lts-Cans,3
379245,Quilmes Bajo Cero-1 Lts-Bottle-RET,1
379245,Corona-1/4 Lts-Cans,2
397303,Corona-1/2 Lts-Cans,1
397303,Stella Artois Blanche-1/2 Lts-Cans,2
397303,Quilmes Clasica-1 Lts-Bottle-RET,3
397303,Andes Origen Roja-1/2 Lts-Cans,4
397303,Andes Origen IPA-1/2 Lts-Cans,5
397303,Budweiser-1/3 Lts-Bottle-RET,6
398760,Patagonia Hoppy Lager-1/4 Lts-Cans,1
398760,Patagonia Bohemian Pilsener-1/2 Lts-Cans,2
398760,Andes Origen Negra-1/2 Lts-Cans,3
408898,Stella Artois Blanche-1/2 Lts-Cans,1
408898,Andes Origen Fresquita-1/2 Lts-Cans,2
410375,Quilmes Ipa-1 Lts-Bottle-OW,1
410375,Corona-1/2 Lts-Cans,2
410375,Stella Artois Blanche-1/2 Lts-Cans,3
410375,Patagonia Amber Lager-1 Lts-Bottle-RET,4
410375,Quilmes Ipa-1/2 Lts-Cans,5
410375,Stella Artois Blanche-1 Lts-Bottle-RET,6
